 facilityid |                 url                  |         name          | male | female | unisex | allgender | toiletnote | drinkingwater | shower 
------------+--------------------------------------+-----------------------+------+--------+--------+-----------+------------+---------------+--------
          1 | https://toiletmap.gov.au/facility/1  | Sandy Beach Reserve   | t    | t      | f      | f         |            | f             | t
          2 | https://toiletmap.gov.au/facility/2  | Point Reserve         | t    | t      | f      | f         |            | f             | f
          3 | https://toiletmap.gov.au/facility/3  | Success Hill Reserve  | t    | t      | f      | f         |            | t             | t
          4 | https://toiletmap.gov.au/facility/4  | Jubilee Reserve       | t    | t      | f      | f         |            | f             | f
          5 | https://toiletmap.gov.au/facility/5  | Ashfield Reserve      | t    | t      | f      | f         |            | f             | f
          6 | https://toiletmap.gov.au/facility/6  | BIC Reserve           | t    | t      | f      | f         |            | f             | f
          7 | https://toiletmap.gov.au/facility/7  | Mary Crescent Reserve | t    | t      | f      | f         |            | f             | f
          9 | https://toiletmap.gov.au/facility/9  | Bassendean Oval 3     | t    | t      | f      | f         |            | f             | f
         15 | https://toiletmap.gov.au/facility/15 | Apex Park             | t    | t      | f      | f         |            | f             | f
         16 | https://toiletmap.gov.au/facility/16 | Lions Park            | t    | t      | f      | f         |            | f             | f
         17 | https://toiletmap.gov.au/facility/17 | Parella Street        | t    | t      | f      | f         |            | f             | t
         18 | https://toiletmap.gov.au/facility/18 | Nolan Park            | f    | f      | t      | f         |            | f             | f
         20 | https://toiletmap.gov.au/facility/20 | Binda Park            | f    | f      | f      | f         |            | f             | f
         21 | https://toiletmap.gov.au/facility/21 | Spring Park           | t    | t      | f      | f         |            | f             | f
         22 | https://toiletmap.gov.au/facility/22 | Lions Park            | t    | t      | f      | f         |            | f             | f
         23 | https://toiletmap.gov.au/facility/23 | Drummond Street       | t    | t      | f      | f         |            | f             | f
         24 | https://toiletmap.gov.au/facility/24 | Centenary Park        | t    | t      | f      | f         |            | f             | f
         25 | https://toiletmap.gov.au/facility/25 | Capella Street        | t    | t      | f      | f         |            | f             | f
         26 | https://toiletmap.gov.au/facility/26 | East Palmerston       | t    | t      | f      | f         |            | f             | f
         28 | https://toiletmap.gov.au/facility/28 | Fred Drew Park        | t    | t      | f      | f         |            | f             | f
(20 rows)

 # Toilets in Cooma with Parking 
---------------------------------
                               4
(1 row)

 # Toilets Down Under 
----------------------
                22031
(1 row)

 # Sporting Facilities That Double As Dumps 
--------------------------------------------
                                       1872
(1 row)

               town                | Toilet Count 
-----------------------------------+--------------
 Abbey                             |            1
 Abbeyard                          |            5
 Abbotsbury                        |            8
 Abbotsford                        |            6
 Abercrombie River                 |            1
 Aberdare                          |            2
 Aberdeen                          |            4
 Aberfeldie                        |            3
 Aberfoyle Park                    |            5
 Abermain                          |            2
 Acacia Hills                      |            1
 Acacia Ridge                      |            3
 Acland                            |            1
 Acton                             |           12
 Adaminaby                         |            1
 Adamstown                         |            1
 Adavale                           |            1
 Adelaide                          |           45
 Adelaide Airport                  |            2
 Adelaide Lead                     |            1
 Adelaide River                    |            5
 Adelong                           |            4
 Advancetown                       |            3
 Adventure Bay                     |            2
 Aeroglen                          |            4
 Agnes Water                       |            4
 Ainslie                           |            2
 Airds                             |            3
 Aireys Inlet                      |            3
 Airlie Beach                      |            5
 Airport West                      |            2
 Aitkenvale                        |            3
 Ajana                             |            2
 Akaroa                            |            1
 Alawa                             |            1
 Alawoona                          |            1
 Albacutya                         |            1
 Albany                            |           19
 Albany Creek                      |            7
 Albert                            |            1
 Alberton                          |            7
 Albert Park                       |           18
 Albion                            |            4
 Albion Park                       |           13
 Albion Park Rail                  |           15
 Albury                            |           14
 Aldavilla                         |            1
 Alderley                          |            6
 Aldgate                           |            1
 Aldinga                           |            2
 Aldinga Beach                     |            5
 Alexander Heights                 |            2
 Alexandra                         |            5
 Alexandra Headland                |            3
 Alexandra Hills                   |            8
 Alexandria                        |            7
 Alford                            |            1
 Alfords Point                     |            3
 Alfred Cove                       |            2
 Alfredton                         |            1
 Alice River                       |            3
 Alice Springs                     |           16
 Alison                            |            1
 Alkimos                           |            2
 Allambee                          |            1
 Allambie Heights                  |            5
 Allans Flat                       |            1
 Allansford                        |            2
 Allanson                          |            1
 Allawah                           |            1
 Allenby Gardens                   |            1
 Allendale East                    |            1
 Allenstown                        |            1
 Allgomera                         |            1
 Alligator Creek                   |            1
 Allora                            |            4
 Allworth                          |            2
 Almaden                           |            1
 Alonnah                           |            2
 Aloomba                           |            3
 Alpha                             |            5
 Alphington                        |            3
 Alstonville                       |            2
 Altona                            |           10
 Altona Meadows                    |            3
 Altona North                      |            4
 Alva                              |            1
 Alvie                             |            1
 Amamoor                           |            1
 Amamoor Creek                     |            3
 Ambarvale                         |            4
 Amberley                          |            1
 Amby                              |            1
 Amelup                            |            1
 American River                    |            3
 Amity                             |            2
 Amity Point                       |            1
 Amor                              |            1
 Amphitheatre                      |            1
