               town                | Toilet Count 
-----------------------------------+--------------
 Melbourne                         |           50
 Sydney                            |           49
 Adelaide                          |           45
 Dubbo                             |           45
 Coffs Harbour                     |           40
 Hamilton                          |           36
 Manly                             |           35
 Muswellbrook                      |           34
 Orange                            |           32
 Mildura                           |           31
 Maryborough                       |           31
 Campbelltown                      |           31
 Epping                            |           30
 Emerald                           |           30
 Ballina                           |           30
 Richmond                          |           29
 Auburn                            |           29
 Eildon                            |           29
 Warrnambool                       |           29
 Hornsby                           |           29
 Perth                             |           28
 Blacktown                         |           28
 Cronulla                          |           28
 Griffith                          |           28
 Frankston                         |           28
 Broken Hill                       |           27
 Brighton                          |           26
 Karijini                          |           26
 Port Macquarie                    |           26
 Wangaratta                        |           26
 Mornington                        |           26
 Mosman                            |           25
 Torquay                           |           25
 Scarborough                       |           24
 Sydney Olympic Park               |           24
 Moree                             |           24
 Wagga Wagga                       |           24
 Rooty Hill                        |           24
 Parkes                            |           23
 Rottnest Island                   |           23
 Belmont                           |           23
 Mount Gambier                     |           23
 Fairfield                         |           23
 Miranda                           |           23
 Croydon                           |           23
 Lismore                           |           22
 Nelson                            |           22
 Scone                             |           22
 Fremantle                         |           22
 Warwick                           |           22
 Wilsons Promontory                |           21
 Cleveland                         |           21
 Sorrento                          |           21
 Horsham                           |           21
 Goulburn                          |           21
 Inverell                          |           21
 Kyneton                           |           21
 Bowen                             |           20
 Sutherland                        |           20
 Penrith                           |           20
 Narrabri                          |           20
 Southport                         |           20
 Surfers Paradise                  |           20
 Atherton                          |           20
 Mudgee                            |           20
 Williamstown                      |           20
 Lorne                             |           19
 Nowra                             |           19
 Bathurst                          |           19
 Deniliquin                        |           19
 Albany                            |           19
 Mill Park                         |           19
 Kingston                          |           19
 Singleton                         |           19
 Launceston                        |           19
 Prospect                          |           19
 Eden                              |           19
 Biloela                           |           18
 South Morang                      |           18
 Newtown                           |           18
 Ulverstone                        |           18
 South Yarra                       |           18
 Taree                             |           18
 Glen Innes                        |           18
 Albert Park                       |           18
 Redcliffe                         |           18
 Mount Barker                      |           18
 Geelong                           |           18
 Casino                            |           18
 Maitland                          |           18
 Maroochydore                      |           18
 Liverpool                         |           18
 Nambucca Heads                    |           18
 Chatswood                         |           18
 Corowa                            |           17
 Craigieburn                       |           17
 Fraser Island                     |           17
 Stromlo                           |           17
 Queanbeyan                        |           17
 Echuca                            |           17
 Tamworth                          |           17
 Port Lincoln                      |           17
 Murray Bridge                     |           17
 Smithfield                        |           17
 Palm Beach                        |           17
 Gladstone                         |           17
 Mandurah                          |           17
 Newport                           |           17
 Forbes                            |           17
 Engadine                          |           17
 Pakenham                          |           17
 Mount Buffalo                     |           17
 Dandenong                         |           17
 Cobar                             |           16
 Centennial Park                   |           16
 Lara                              |           16
 Traralgon                         |           16
 Shepparton                        |           16
 Mackay                            |           16
 Seaford                           |           16
 Goondiwindi                       |           16
 Yarrawonga                        |           16
 Grafton                           |           16
 Preston                           |           16
 Kiama                             |           16
 Alice Springs                     |           16
 Bairnsdale                        |           16
 Longreach                         |           16
 Katoomba                          |           16
 Port Melbourne                    |           16
 Dalby                             |           16
 South West Rocks                  |           16
 Belair                            |           16
 Busselton                         |           16
 Greensborough                     |           15
 Rockingham                        |           15
 Portland                          |           15
 Thomastown                        |           15
 Capalaba                          |           15
 Swan Hill                         |           15
 Ocean Grove                       |           15
 Wentworth                         |           15
 Yamba                             |           15
 Glen Waverley                     |           15
 Narrogin                          |           15
 Cowra                             |           15
 Macquarie Fields                  |           15
 Berwick                           |           15
 Wodonga                           |           15
 Forster                           |           15
 Devonport                         |           15
 Claremont                         |           15
 Baulkham Hills                    |           15
 Melton                            |           15
 Mallacoota                        |           15
 Cessnock                          |           15
 Ballarat Central                  |           15
 Greenvale                         |           15
 Cootamundra                       |           15
 Mount Annan                       |           15
 Albion Park Rail                  |           15
 Urunga                            |           15
 Shellharbour                      |           14
 Stanthorpe                        |           14
 Gympie                            |           14
 Kings Park                        |           14
 Tenterfield                       |           14
 Maylands                          |           14
 Camden                            |           14
 Temora                            |           14
 Maclean                           |           14
 Mitchell                          |           14
 Point Cook                        |           14
 Morisset                          |           14
 Reservoir                         |           14
 Bayswater                         |           14
 Gawler                            |           14
 Coburg                            |           14
 Port Hedland                      |           14
 Armidale                          |           14
 Albury                            |           14
 Murwillumbah                      |           14
 Doonside                          |           14
 Wollongong                        |           14
 Bunbury                           |           14
 Port Augusta                      |           14
 Lidcombe                          |           14
 Yanchep                           |           14
 Collie                            |           14
 Kew                               |           14
 Geraldton                         |           14
 Denmark                           |           14
 Leeton                            |           14
 Kingaroy                          |           14
 Flinders Ranges                   |           14
 Newman                            |           13
 Victor Harbor                     |           13
 Kempsey                           |           13
 Bankstown                         |           13
 Tweed Heads                       |           13
 Picton                            |           13
 Nerang                            |           13
 Nambour                           |           13
 Bentleigh East                    |           13
 Hillarys                          |           13
 Cobram                            |           13
 Gosford                           |           13
 Deception Bay                     |           13
 Gordon                            |           13
 Corio                             |           13
 Albion Park                       |           13
 Carlton                           |           13
 Bendigo                           |           13
 Roma                              |           13
 Olinda                            |           13
 Sandy Bay                         |           13
 Concord                           |           13
 Lakes Entrance                    |           13
 St Marys                          |           13
 Ashfield                          |           13
 Benalla                           |           13
 Hurstville                        |           13
 Moranbah                          |           13
 Nyngan                            |           13
 Cheltenham                        |           13
 Yass                              |           13
 Little River                      |           13
 Bundoora                          |           13
 Inneston                          |           13
 Blackheath                        |           13
 South Perth                       |           13
 Whyalla                           |           13
 Mount Eliza                       |           13
 Inglewood                         |           13
 Glebe                             |           13
 Bowral                            |           13
 Moruya                            |           13
 Seymour                           |           12
 Mernda                            |           12
 Chinchilla                        |           12
 Sunbury                           |           12
 Maroubra                          |           12
 Falls Creek                       |           12
 Parramatta                        |           12
 Earlwood                          |           12
 Tumby Bay                         |           12
 Burleigh Heads                    |           12
 Marrickville                      |           12
 Milton                            |           12
 Riverwood                         |           12
 Raymond Terrace                   |           12
 Margaret River                    |           12
 Acton                             |           12
 Beaumaris                         |           12
 Loch Sport                        |           12
 Swansea                           |           12
 Sandringham                       |           12
 Gulgong                           |           12
 Kununurra                         |           12
 Ringwood                          |           12
 Goonellabah                       |           12
 Somerville                        |           12
 Warilla                           |           12
 Denman                            |           12
 Cape Conran                       |           12
 Springwood                        |           12
 Barcaldine                        |           12
 Anglesea                          |           12
 Castle Hill                       |           12
 Noosa Heads                       |           12
 Sale                              |           12
 Mount Martha                      |           12
 Narooma                           |           12
 Caboolture                        |           12
 Windsor                           |           12
 Bulli                             |           12
 Grenfell                          |           12
 Casuarina                         |           12
 Kingscliff                        |           12
 Halls Gap                         |           11
 Murrindindi                       |           11
 Australind                        |           11
 Ravenswood                        |           11
 Robe                              |           11
 Clare                             |           11
 Broome                            |           11
 Como                              |           11
 Redland Bay                       |           11
 Colac                             |           11
 Ryde                              |           11
 Whitsundays                       |           11
 Penshurst                         |           11
 Quirindi                          |           11
 Glenorchy                         |           11
 Newcastle                         |           11
 South Grafton                     |           11
 Southwest                         |           11
 Cranbourne                        |           11
 Ingham                            |           11
 Stawell                           |           11
 Merrylands                        |           11
 Saint Kilda                       |           11
 Bedourie                          |           11
 Blayney                           |           11
 Bourke                            |           11
 Armadale                          |           11
 Uralla                            |           11
 Kakadu                            |           11
 Tamborine Mountain                |           11
 Stanley                           |           11
 Woodford                          |           11
 Caringbah                         |           11
 Ararat                            |           11
 Gin Gin                           |           11
 Arthur River                      |           11
 Northcote                         |           11
 New Norfolk                       |           11
 Cooma                             |           11
 Mount Druitt                      |           11
 Wilcannia                         |           11
 Kalgoorlie                        |           11
 Wheelers Hill                     |           11
 Hawthorn                          |           11
 Avoca                             |           11
 Hallett Cove                      |           11
 Golden Beach                      |           11
 Brisbane                          |           11
 Warialda                          |           11
 Esperance                         |           11
 Inverloch                         |           11
 Wahroonga                         |           11
 Beenleigh                         |           11
 Emu Plains                        |           11
 Lane Cove                         |           11
 Katherine                         |           11
 Nuriootpa                         |           10
 Labrador                          |           10
 Oak Flats                         |           10
 Saint Ives                        |           10
 Lalor                             |           10
 Moe                               |           10
 Eltham                            |           10
 Clayton                           |           10
 Camberwell                        |           10
 Barmera                           |           10
 Werribee                          |           10
 Rye                               |           10
 Young                             |           10
 Norseman                          |           10
 Rookwood                          |           10
 Warburton                         |           10
 Narre Warren                      |           10
 Nelson Bay                        |           10
 Coonabarabran                     |           10
 Birdsville                        |           10
 Springvale                        |           10
 Clermont                          |           10
 Winton                            |           10
 Beaudesert                        |           10
 Healesville                       |           10
 Blackall                          |           10
 Strathfield                       |           10
 Burra                             |           10
 Darwin City                       |           10
 Tin Can Bay                       |           10
 Bingara                           |           10
 Zumsteins                         |           10
 Bassendean                        |           10
 Brooklyn                          |           10
 Altona                            |           10
 Helensvale                        |           10
 Beerwah                           |           10
 Oberon                            |           10
 Salisbury                         |           10
 Tumut                             |           10
 Kyabram                           |           10
 Clontarf                          |           10
 Hawthorn East                     |           10
 Warragul                          |           10
 Mitcham                           |           10
 Castlemaine                       |           10
 George Town                       |           10
 Menai                             |           10
 Sunshine                          |           10
 Dee Why                           |           10
 Cowes                             |           10
 Balwyn North                      |           10
 Berri                             |           10
 Crows Nest                        |           10
 Cooktown                          |           10
 Coffin Bay                        |           10
 Ipswich                           |           10
 Tuggerah                          |           10
 Fairy Meadow                      |           10
 Lithgow                           |           10
 Gunnedah                          |           10
 Canterbury                        |           10
 Wauchope                          |           10
 Barwon Heads                      |           10
 Berry                             |           10
 Frankston South                   |           10
 Apollo Bay                        |           10
 Artarmon                          |           10
 Gisborne                          |           10
 Streaky Bay                       |           10
 East Toowoomba                    |           10
 Ulladulla                         |           10
 Glenroy                           |           10
 Casula                            |           10
 Murray-Sunset                     |           10
 Merimbula                         |           10
 Kogarah                           |           10
 Sylvania                          |           10
 Pittsworth                        |           10
 Campsie                           |           10
 Buderim                           |           10
 Kensington                        |           10
 Merrijig                          |           10
 Mooloolaba                        |           10
 Burwood                           |           10
 Kerang                            |           10
 Hopetoun                          |           10
 Julia Creek                       |           10
 North Hobart                      |           10
 Keysborough                       |           10
 Bridgetown                        |            9
 North Ryde                        |            9
 Cairns                            |            9
 Byron Bay                         |            9
 Seven Hills                       |            9
 Balranald                         |            9
 Donnybrook                        |            9
 Nedlands                          |            9
 Googong                           |            9
 Morwell                           |            9
 Carlingford                       |            9
 Seaforth                          |            9
 Wallsend                          |            9
 Hughenden                         |            9
 Thargomindah                      |            9
 Kalbarri                          |            9
 North Walpole                     |            9
 Exmouth                           |            9
 Willoughby                        |            9
 Mitta Mitta                       |            9
 Katanning                         |            9
 Northampton                       |            9
 Dungog                            |            9
 Woods Point                       |            9
 Lilyfield                         |            9
 Bongaree                          |            9
 Duncraig                          |            9
 Hamilton Hill                     |            9
 Woonona                           |            9
 Wynnum                            |            9
 Prahran                           |            9
 Spearwood                         |            9
 Malvern                           |            9
 Barden Ridge                      |            9
 Narromine                         |            9
 McLaren Vale                      |            9
 Pyrmont                           |            9
 Babinda                           |            9
 Coles Bay                         |            9
 Morningside                       |            9
 Jimboomba                         |            9
 Kevington                         |            9
 West Wyalong                      |            9
 Bondi Junction                    |            9
 Guildford                         |            9
 Wingham                           |            9
 Naracoorte                        |            9
 Mansfield                         |            9
 Mumbannar                         |            9
 The Gardens                       |            9
 Hobart                            |            9
 Bellingen                         |            9
 Brighton East                     |            9
 Beechworth                        |            9
 Floreat                           |            9
 Sarina                            |            9
 Newstead                          |            9
 Toodyay                           |            9
 Mittagong                         |            9
 Marysville                        |            9
 Haymarket                         |            9
 Port Pirie                        |            9
 Wallaroo                          |            9
 Norlane                           |            9
 East Melbourne                    |            9
 Bundaberg Central                 |            9
 Bega                              |            9
 Woodend                           |            9
 Walpole                           |            9
 Moore Park                        |            9
 Hampton                           |            9
 Beresfield                        |            9
 Macquarie Park                    |            9
 Mona Vale                         |            9
 Loxton                            |            9
 East Maitland                     |            9
 Highton                           |            9
 Doncaster East                    |            9
 Virginia                          |            9
 Petrie                            |            9
 Glendale                          |            9
 Yarrabah                          |            9
 Saint Marys                       |            9
 Mount Coot-Tha                    |            9
 Kurri Kurri                       |            9
 Grovedale                         |            9
 Lindfield                         |            9
 Thirroul                          |            9
 Mascot                            |            9
 Jindabyne                         |            9
 Mount Pleasant                    |            9
 Turramurra                        |            9
 Batemans Bay                      |            9
 Wellington Point                  |            9
 Wonthaggi                         |            9
 Cairns City                       |            9
 Kangaroo Flat                     |            9
 Moonta                            |            9
 Morayfield                        |            9
 Forest Hill                       |            9
 Bremer Bay                        |            9
 Highfields                        |            9
 Mount William                     |            9
 Minto                             |            9
 Geelong West                      |            9
 Windorah                          |            9
 Punchbowl                         |            9
 Toowong                           |            9
 Heathcote                         |            9
 Subiaco                           |            9
 Neutral Bay                       |            9
 Oakleigh                          |            9
 Dunsborough                       |            9
 Hastings                          |            9
 Kyogle                            |            9
 Hoppers Crossing                  |            9
 Derby                             |            9
 Barraba                           |            9
 Merriwa                           |            9
 Ayr                               |            9
 Manjimup                          |            9
 Clifton Hill                      |            9
 Warrandyte                        |            9
 Gatton                            |            9
 Alexandra Hills                   |            8
 Finley                            |            8
 Dapto                             |            8
 Omeo                              |            8
 Rosebery                          |            8
 Millstream                        |            8
 Sunnybank                         |            8
 Isisford                          |            8
 Victoria Park                     |            8
 Oatley                            |            8
 East Perth                        |            8
 Carnegie                          |            8
 Lake Cargelligo                   |            8
 Noble Park                        |            8
 Sussex Inlet                      |            8
 Margate                           |            8
 North Lakes                       |            8
 Kingscote                         |            8
 Port Fairy                        |            8
 Euroa                             |            8
 Wyong                             |            8
 Mareeba                           |            8
 Yarralumla                        |            8
 Brunswick East                    |            8
 Joondalup                         |            8
 Swan Reach                        |            8
 Rockhampton                       |            8
 Jarrahdale                        |            8
 Braeside                          |            8
 Mullewa                           |            8
 Sans Souci                        |            8
 Lake Boga                         |            8
 North Haven                       |            8
 Scottsdale                        |            8
 Riverstone                        |            8
 Woorim                            |            8
 Mosman Park                       |            8
 Tallangatta                       |            8
 Slacks Creek                      |            8
 Christies Beach                   |            8
 Creswick                          |            8
 Kippa-Ring                        |            8
 Main Beach                        |            8
 Bateau Bay                        |            8
 Landsborough                      |            8
 Boulder                           |            8
 Padstow                           |            8
