FacilityID,URL,Name,FacilityType,Address1,Town,State,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,KeyRequired,MLAK24,MLAKAfterHours,PaymentRequired,AccessNote,AdultChange,ChangingPlaces,BYOSling,ACShower,ACMLAK,AdultChangeNote,BabyChange,BabyCareRoom,BabyChangeNote,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,LHTransfer,RHTransfer,ToiletNote,SharpsDisposal,DrinkingWater,SanitaryDisposal,MensPadDisposal,Shower
1,https://toiletmap.gov.au/facility/1,Sandy Beach Reserve,Park or reserve,West Road,Bassendean,WA,,-31.921836,115.9502062,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE
2,https://toiletmap.gov.au/facility/2,Point Reserve,Park or reserve,North Road,Bassendean,WA,,-31.9044101,115.9609911,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
3,https://toiletmap.gov.au/facility/3,Success Hill Reserve,Park or reserve,Off Seventh Avenue,Bassendean,WA,,-31.89628865,115.955781,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE
4,https://toiletmap.gov.au/facility/4,Jubilee Reserve,Park or reserve,Robinson Road,Eden Hill,WA,,-31.891474,115.9401637,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
5,https://toiletmap.gov.au/facility/5,Ashfield Reserve,Park or reserve,Guildford Road,Ashfield,WA,,-31.91343349,115.9364772,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
6,https://toiletmap.gov.au/facility/6,BIC Reserve,Park or reserve,"BIC Reserve, James Street",Bassendean,WA,,-31.90397769,115.9500707,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
7,https://toiletmap.gov.au/facility/7,Mary Crescent Reserve,Park or reserve,Mary Crescent,Eden Hill,WA,,-31.89036599,115.9480897,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
9,https://toiletmap.gov.au/facility/9,Bassendean Oval 3,Sporting facility,Old Perth Road,Bassendean,WA,,-31.90371581,115.9564902,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Variable hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
15,https://toiletmap.gov.au/facility/15,Apex Park,Park or reserve,Moranbah Access Road,Moranbah,QLD,,-22.01444418,148.0452418,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
16,https://toiletmap.gov.au/facility/16,Lions Park,Park or reserve,12 Belyando Avenue,Moranbah,QLD,,-21.9993408,148.0439733,TRUE,FALSE,"Parking is available on Belyando Avenue, then a short walk into the park to access the toilet",FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
17,https://toiletmap.gov.au/facility/17,Parella Street,Park or reserve,Parella Street,Moranbah,QLD,,-22.0001525,148.0486159,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE
